level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3,pvp-unlock,hunt-unlock,exp-unlock,label
168,11,43,43,2794,811700,2469,8,0,20,11,14,0,5,84,2105,17683771,8462431,2883800,0,13,30,4,20,20,1020,619500,1189,2,1,11,7,4,0,3,81,1019,7,42,4,11,11,410,252000,781,0,0,0,0,2,0,2,10,496,7,1,1,1,0
200,35,43,43,1402,1014500,2310,34,3,33,22,1,4,4,55,2213,18912162,8133351,255731,4,6,97,11,14,14,1550,725000,1075,8,0,10,9,0,0,4,15,897,7,0,0,3,3,0,0,0,0,0,0,0,0,0,5,0,43,0,1,1,1,0
106,1,0,0,700,208000,769,0,0,28,19,11,0,2,40,1009,13916030,7905519,9692584,0,5,97,0,0,0,675,450600,926,0,0,12,10,12,0,4,21,806,5,13,0,0,0,60,509500,1163,0,0,26,13,8,0,2,31,374,5,1,1,1,0
244,127,31,31,3190,2401500,2843,18,0,65,37,18,0,8,143,3648,33178952,9991017,14310776,0,13,142,22,9,9,1710,1086000,2034,4,0,5,6,11,0,4,30,1345,7,44,5,20,20,1104,500500,913,0,0,44,24,7,0,6,3,628,5,1,1,1,0
429,232,56,56,4528,3068800,4225,231,1,10,6,42,0,6,120,5491,40566837,22422741,8978550,0,13,179,113,4,4,1884,1379000,1921,114,0,86,21,5,0,5,0,1944,1,8,4,8,8,950,240000,884,4,0,13,5,4,0,3,3,270,3,1,1,1,0
69,5,0,0,200,87800,228,1,0,0,0,2,0,1,4,497,3036015,10760269,5469489,0,4,21,8,0,0,0,174600,712,6,0,21,8,1,0,2,10,293,5,29,1,0,0,750,240000,287,1,0,21,10,2,0,3,0,252,0,1,1,1,0
65,1,3,3,0,125220,464,0,0,0,0,4,0,3,40,702,3244125,2015326,94219,0,7,10,0,0,0,0,197280,650,0,0,1,1,3,0,3,51,416,9,2,0,0,0,0,0,59,0,0,0,0,1,0,1,0,15,0,1,1,1,0
70,8,0,0,810,115260,513,7,0,4,2,22,0,4,10,650,5380194,1927585,3923191,0,9,0,0,0,0,0,0,92,0,0,5,4,2,0,1,0,27,0,27,5,10,10,430,207240,328,5,0,7,5,11,0,2,0,330,5,1,1,1,0
161,91,0,0,1450,804400,1281,10,0,26,14,63,0,8,40,1899,16591275,4395936,13741970,0,11,61,9,0,0,1000,330000,1138,0,0,7,5,10,0,5,0,469,3,155,58,6,6,2570,1550500,2201,0,3,12,8,34,0,6,80,2034,7,1,1,1,0
139,2,4,4,870,322400,886,2,0,11,10,3,0,8,40,1219,10025397,5499930,7377125,0,5,67,4,1,1,1150,302700,1242,2,0,3,2,5,0,3,10,617,6,68,0,29,29,1740,603000,1681,0,1,10,9,9,0,5,30,1005,7,1,1,1,0
75,0,20,20,0,169160,338,0,0,17,9,0,0,6,40,863,8004320,12928224,15647587,0,3,83,0,3,3,0,318240,520,0,0,24,15,0,0,6,0,646,0,42,0,17,17,808,465000,900,0,0,29,20,0,0,8,22,768,4,1,1,1,0
389,42,42,42,1997,2119400,3642,2,0,35,27,5,0,7,120,3940,30811498,13410141,1495560,0,12,209,7,3,3,3732,861100,2809,0,1,2,1,5,0,9,80,1818,5,21,0,0,0,0,0,672,0,0,0,0,3,0,8,0,162,1,1,1,1,0
208,66,3,3,1970,1006400,1761,63,1,5,3,18,0,8,81,2352,17685493,19052981,11412901,0,9,162,42,13,13,2072,1240000,2263,40,0,4,3,27,0,4,46,1831,7,53,85,8,8,1764,1258500,1925,84,0,0,0,11,0,5,114,1715,7,1,1,1,0
169,106,5,5,1050,1116300,2132,86,1,11,10,7,1,12,121,2630,23350643,2244648,2571626,3,12,0,0,0,0,0,107000,739,0,0,1,1,2,0,2,40,287,5,1,1,0,0,2250,360000,907,1,0,0,0,2,0,2,80,505,4,1,1,1,0
365,0,26,26,2999,1203400,2701,0,0,21,10,33,0,5,45,2919,23981282,7587366,1133348,0,7,81,0,21,21,1470,299700,1419,0,0,0,0,7,0,4,0,703,6,24,0,0,0,0,117000,265,0,0,0,0,0,0,5,0,166,3,1,1,1,0
30,0,1,1,650,72160,278,0,0,0,0,5,0,2,40,473,1634622,1063427,724496,0,6,17,0,6,6,0,65140,70,0,0,0,0,2,0,2,0,179,4,18,1,3,3,200,47820,300,1,0,0,0,1,0,2,0,154,6,1,1,0,0
245,8,20,20,200,744800,1883,3,0,4,4,16,0,8,41,1943,12587958,2003638,0,0,12,18,0,20,20,0,135000,667,0,0,0,0,3,0,3,0,277,6,3,0,0,0,0,0,120,0,0,0,0,0,0,1,0,21,0,1,1,1,0
120,1,0,0,0,292400,695,0,0,22,14,0,0,5,40,1148,14105484,9876776,3794070,0,6,79,0,0,0,800,675000,1445,0,0,12,8,0,0,3,100,1250,8,34,0,0,0,200,225000,365,0,0,9,9,0,0,2,20,391,0,1,1,1,0
70,0,3,3,0,79820,333,0,0,20,14,7,0,3,19,628,8316351,3464006,3328088,0,5,26,0,0,0,0,182880,388,0,0,8,6,3,0,4,1,247,4,60,0,0,0,1840,225000,803,0,0,4,4,8,0,6,0,401,3,1,1,1,0
100,9,1,1,549,135900,346,4,0,0,0,8,0,1,5,756,8231777,2497302,6128334,0,5,36,9,0,0,600,119520,417,9,0,1,1,6,0,1,0,284,2,26,0,0,0,600,269580,636,0,0,4,2,5,0,1,50,495,3,1,1,1,0
