,level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3,pvp-unlock,hunt-unlock,exp-unlock,label
0,239,21,16,16,2160,1086700,2306,4,0,5,6,14,0,5,72,2196,14486393,6765489,0,0,12,62,40,3,3,1440,960000,984,0,1,0,0,5,0,4,48,978,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,75,4,0,0,120,97000,153,2,0,1,0,13,0,5,4,643,6854196,0,6319633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,6,4,4,660,235900,733,4,0,8,4,20,0,4,2,674,5,1,1,1,1
2,70,97,6,6,510,412400,763,97,0,1,1,7,0,6,27,1378,11065569,10525601,351842,0,12,85,97,25,25,1374,992000,1800,95,1,14,7,11,0,9,24,1545,9,5,0,0,0,0,30000,9,1,0,1,0,1,0,1,0,40,0,1,1,1,1
3,80,0,0,0,0,87800,383,0,0,0,0,1,0,2,40,728,4724052,1858341,0,0,6,47,0,0,0,0,118800,444,0,0,0,0,1,0,1,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4,106,8,9,9,1264,377700,881,1,0,17,8,12,0,8,31,1119,11712457,494498,0,0,8,1,0,0,0,300,27000,311,0,0,0,0,1,0,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
5,100,0,16,16,700,307500,531,0,0,35,15,0,0,2,28,979,9030984,4380070,7111496,0,6,44,3,2,2,550,207000,410,0,0,11,5,0,0,3,0,365,4,57,1,16,16,1420,462000,1385,0,1,3,2,0,0,4,53,896,7,1,1,1,1
6,118,3,2,2,1000,277400,735,3,0,9,8,6,0,8,40,1070,7609857,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
7,320,5,71,71,4590,2109400,4273,0,2,99,56,13,2,11,136,3578,24773484,17542206,13055190,9,14,279,7,16,16,458,1464000,3423,6,0,46,30,14,0,9,19,2019,7,123,87,62,62,323,1695000,2420,27,2,4,2,12,2,10,61,2131,3,1,1,1,1
8,126,11,0,0,720,247820,796,0,0,16,6,6,0,3,40,1101,10006078,724588,76017,0,0,18,0,0,0,60,44580,161,0,0,0,0,2,0,2,0,122,0,1,0,0,0,60,0,240,0,0,0,0,1,0,1,0,20,0,1,1,1,1
9,66,0,0,0,0,78120,125,0,0,0,0,14,0,1,0,732,6245552,2634624,0,0,0,18,0,0,0,200,127080,267,0,0,1,1,7,0,1,34,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
10,184,53,24,24,2652,1248100,2278,21,1,19,15,14,0,5,95,2415,15778898,5258199,2580845,0,14,70,15,20,20,1380,647000,1429,13,1,4,1,6,0,6,11,831,6,2,2,20,20,554,94000,502,2,1,0,0,3,0,4,0,255,4,1,1,1,1
11,165,12,43,43,1270,533600,1767,10,0,18,10,1,0,4,40,1814,9798726,931484,1323222,0,12,25,1,0,0,0,75000,120,0,0,1,0,0,0,3,0,159,0,6,1,0,0,1080,225000,430,1,0,1,1,0,0,1,35,307,5,1,1,1,1
12,120,6,7,7,940,284200,810,1,0,2,2,13,0,8,16,984,5330701,1859390,0,0,12,22,0,2,2,240,90000,120,0,0,1,0,0,0,1,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
13,178,10,20,20,2240,807200,1916,1,0,16,10,9,0,8,120,2152,13083142,460180,4988582,0,12,3,0,0,0,400,120000,546,0,0,0,0,2,0,2,27,225,4,79,12,13,13,1680,705800,1471,1,1,3,1,2,0,1,53,1018,3,1,1,1,1
14,90,11,15,15,595,279900,754,10,0,14,11,11,0,6,20,954,8716755,1255319,1349901,0,14,5,0,0,0,60,45000,199,0,0,2,1,1,0,1,0,63,5,26,0,23,23,1770,227000,1125,0,1,3,0,4,0,2,0,387,4,1,1,1,1
15,35,2,0,0,0,50600,146,2,0,0,0,0,0,1,21,372,3850586,1667728,1152161,0,3,30,0,0,0,293,56420,235,0,0,0,0,2,0,1,3,224,4,5,0,0,0,0,9540,20,0,0,6,5,0,0,1,0,81,0,1,1,1,1
16,172,26,5,5,1091,592100,1111,2,0,24,17,10,0,3,0,1436,17112281,9093364,0,0,6,88,21,0,0,860,855000,1210,1,0,6,0,3,0,3,80,1280,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
17,129,6,6,6,876,247820,1053,0,0,26,15,28,0,6,40,1348,17182198,3574797,3854628,0,5,7,0,0,0,600,42480,590,0,0,8,3,11,0,4,0,146,3,14,3,3,3,500,165000,490,0,0,11,2,9,0,1,22,370,4,1,1,1,1
18,153,4,20,20,450,652500,1337,0,0,26,23,1,0,4,86,1729,20831005,6279338,93800,2,12,32,8,20,20,1080,555000,1803,0,2,7,6,4,0,5,80,903,6,2,0,0,0,0,0,144,0,0,0,0,1,0,2,0,20,0,1,1,1,1
19,136,176,17,17,1200,802400,1304,151,2,13,10,11,2,6,40,2620,23590007,9289539,132971,3,7,6,97,14,14,1520,1200000,1467,88,0,1,0,4,1,4,91,1472,6,0,0,0,0,0,0,145,0,0,0,0,1,0,1,0,11,1,1,1,1,1
20,211,39,20,20,1900,798000,1721,10,1,5,4,2,0,3,40,2093,12809045,591297,140394,0,7,12,1,0,0,300,87000,110,0,0,0,0,0,0,2,0,118,2,5,0,0,0,0,60000,255,0,0,0,0,0,0,0,0,54,3,1,1,1,1
21,70,41,0,0,740,185520,390,6,1,4,3,3,0,4,40,1021,6179989,56230,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
22,115,0,13,13,1030,471100,1077,0,0,16,11,26,0,1,82,1509,10879774,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
23,110,7,0,0,400,292400,643,0,0,41,20,4,0,2,16,948,17519982,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
