,Unnamed: 0.1,level_cnt,ads_cnt,pvp_cnt,pvp_won_cnt,gem_spend,coin_spend,gem_earn,ads_reward_cnt,org_hero_cnt,level_e_try_cnt,level_e_cnt,idle_cnt,purchase_times,login_cnt,level_h_cnt,log_num,pvp-unlock,hunt-unlock,exp-unlock,label
0,0,54,23,0,0,0,58500,14,0,0,0,0,1,0,4,1,553,1,1,0,0
1,1,77,2,2,2,99,91700,194,0,0,0,0,1,0,8,12,686,1,1,1,0
2,2,69,4,8,8,540,233660,898,0,0,5,5,3,0,5,90,1101,1,1,0,0
3,3,118,0,1,1,320,208220,607,0,0,32,18,5,0,4,6,864,1,1,1,0
4,4,120,14,0,0,617,206600,720,0,0,0,0,7,0,8,5,881,1,1,1,0
5,5,113,0,0,0,407,195700,729,0,0,4,2,9,0,4,46,1088,1,1,1,0
6,6,88,3,26,26,930,241860,610,0,0,3,2,2,0,9,6,862,1,1,1,0
7,7,73,0,0,0,120,113160,186,0,0,0,0,0,0,10,16,734,1,1,1,0
8,8,133,11,0,0,409,212800,480,10,0,0,0,0,0,11,0,885,1,1,1,0
9,9,65,5,0,0,120,71660,117,0,1,0,0,6,0,1,9,622,1,1,0,0
10,10,50,60,0,0,0,125120,150,0,0,0,0,6,0,5,9,739,1,1,0,0
11,11,89,18,0,0,0,105620,240,5,0,0,0,0,0,3,0,676,1,1,1,0
12,12,50,1,0,0,500,105620,333,0,0,0,0,20,0,11,40,648,1,1,0,0
13,13,75,0,0,0,0,115260,324,0,0,6,4,0,0,4,24,657,1,1,1,0
14,14,103,0,0,0,259,127820,424,0,0,8,5,0,0,5,4,721,1,1,1,0
15,15,77,1,24,24,450,262400,545,0,0,4,3,13,0,1,55,1024,1,1,1,0
16,16,82,2,0,0,0,157520,427,0,0,8,5,2,0,3,40,818,1,1,1,0
17,17,102,1,0,0,828,205300,483,0,0,6,5,12,0,2,23,817,1,1,1,0
18,18,140,0,0,0,400,277400,1067,0,0,2,2,18,0,6,10,970,1,1,1,0
19,19,67,19,1,1,500,134000,400,13,0,0,0,4,0,2,40,813,1,1,0,0
20,20,81,38,0,0,400,148100,205,2,0,4,3,1,0,6,0,743,1,1,1,0
21,21,111,0,0,0,782,178220,650,0,0,0,0,10,0,6,3,793,1,1,1,0
22,22,70,0,0,0,250,115860,452,0,0,12,9,19,0,7,19,650,1,1,1,0
23,23,51,0,0,0,0,28400,0,0,0,0,0,3,0,3,0,485,1,1,0,0
24,24,99,0,0,0,903,233820,1050,0,1,4,2,15,0,5,45,941,1,1,1,0
25,25,101,7,5,5,0,195400,481,1,0,8,8,5,0,1,0,753,1,1,1,0
26,26,71,8,0,0,400,193700,682,6,0,4,3,5,0,5,61,966,1,1,1,0
27,27,70,1,0,0,0,105620,421,0,0,6,4,2,0,5,40,754,1,1,1,0
28,28,60,17,1,1,0,125120,166,0,0,0,0,0,0,1,12,579,1,1,0,0
29,29,70,2,21,21,600,234560,807,0,0,6,5,7,0,5,45,923,1,1,1,0
30,30,70,4,0,0,0,87800,406,1,0,15,7,7,0,8,15,617,1,1,1,0
31,31,80,3,16,16,800,157520,463,0,0,3,3,0,0,3,38,888,1,1,1,0
32,32,52,56,3,3,600,169160,298,4,0,0,0,8,0,1,40,942,1,1,0,0
33,33,85,1,17,17,900,500400,1552,1,0,2,2,2,0,2,35,949,1,1,1,0
34,34,91,0,30,30,0,224920,492,0,0,4,4,0,0,4,10,903,1,1,1,0
35,35,96,47,0,0,400,57200,234,36,0,0,0,4,0,11,20,1104,1,1,1,0
36,36,104,42,0,0,790,289800,432,9,0,4,3,0,0,1,27,1066,1,1,1,0
37,37,55,3,0,0,500,35220,105,3,0,0,0,5,0,1,1,445,1,1,0,0
38,38,40,16,44,44,1900,373500,1724,11,2,0,0,6,3,1,16,1039,1,1,0,0
39,39,134,1,0,0,491,282900,849,0,0,1,1,1,0,4,1,843,1,1,1,0
