level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3
26,4,0,0,400,44420,199,0,0,0,0,5,0,10,8,341,3079174,1162799,1652416,0,8,6,0,11,11,200,70740,85,0,0,0,0,1,0,1,0,150,4,18,2,6,6,60,44860,142,0,0,0,0,1,0,1,5,251,7
85,0,6,6,0,193700,618,0,0,12,11,8,0,4,40,870,6574778,6862469,0,0,0,45,0,3,3,0,218700,702,0,0,22,13,4,0,3,20,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,3,5,5,0,105620,242,3,0,1,1,1,0,4,5,592,3666914,5915047,0,0,7,93,9,33,33,1370,486780,1322,9,0,0,0,6,0,7,0,891,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,54,8,8,1000,352400,780,53,0,5,3,9,0,9,9,1262,7982042,1691197,0,0,8,11,11,16,16,0,180000,296,11,0,1,1,3,0,2,0,279,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
698,243,0,0,3780,3870000,5207,0,2,4,3,19,0,10,120,6110,29924405,10066101,4233161,0,5,398,0,0,0,4500,1440000,3548,0,0,0,0,3,0,4,80,2741,3,111,0,3,3,0,960000,1608,0,0,0,0,1,0,0,76,1166,4
82,47,25,25,70,277400,238,22,0,10,7,9,0,3,9,1041,9576881,14856403,2677678,0,0,94,62,26,26,1860,900000,1632,6,0,31,18,14,0,6,34,1428,7,4,21,21,21,70,240000,502,2,0,0,0,4,0,1,16,419,7
177,2,34,34,2243,634700,1919,2,0,10,9,13,0,11,28,1705,12736454,7000505,5729692,0,13,74,0,14,14,1260,379000,1274,0,0,0,0,4,0,4,27,768,6,86,0,13,13,1130,420500,1233,0,0,1,1,8,0,6,10,759,2
335,43,25,25,2930,1564400,2977,2,2,5,3,25,0,13,55,2836,16328211,8640791,1024153,0,9,70,11,15,15,2280,995500,2156,1,2,0,0,15,0,9,80,1156,6,10,0,0,0,600,120000,724,0,0,0,0,5,0,5,14,202,4
129,0,6,6,1571,539200,1425,0,0,18,13,11,0,7,87,1579,10257981,1270364,0,0,11,12,0,0,0,250,90000,183,0,0,2,0,1,0,3,10,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,82,17,17,1199,856800,1661,36,0,18,10,18,0,4,64,2075,30207568,1054387,0,0,14,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,480,277400,630,0,0,0,0,0,0,9,10,1021,7604644,1020365,0,0,0,2,0,0,0,0,15000,0,0,0,0,0,0,0,3,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,99,396600,700,0,0,21,12,0,0,4,23,1221,15324240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,34,0,0,180,292000,793,2,0,3,1,0,0,5,32,1310,10204502,4746296,0,0,4,29,1,12,12,808,405000,636,0,1,0,0,8,0,3,24,588,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,30,30,1431,519800,1035,0,0,55,21,8,0,4,26,1485,20822088,3855215,0,0,7,27,0,22,22,990,240000,1067,0,0,6,1,1,0,0,12,454,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,23,16,16,2000,1019100,1799,1,0,53,37,18,0,16,40,2034,38099381,276094,0,0,11,9,1,0,0,250,60000,92,0,0,0,0,1,0,1,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,0,0,794,392700,870,0,0,12,10,3,0,4,51,1347,10934485,0,783456,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,740,0,426,0,0,0,0,1,0,2,3,147,0
76,2,2,2,188,169960,610,1,0,1,1,27,0,3,61,983,5957737,0,927881,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,1,0,50760,321,0,0,0,0,4,0,5,4,132,2
168,151,0,0,800,682400,1416,56,0,19,15,7,0,5,56,2412,23402138,6135246,0,0,6,41,84,0,0,700,120000,787,0,0,0,0,3,0,2,44,939,0,1,0,0,0,0,0,15,0,0,4,3,0,0,1,2,34,0
70,21,25,25,800,292400,682,1,0,4,3,8,0,5,45,1144,5428430,82316,378232,0,14,0,0,0,0,60,0,72,0,0,0,0,1,0,1,0,10,0,6,3,0,0,0,45000,117,0,0,0,0,1,0,1,0,69,3
140,4,0,0,1089,427800,1072,0,0,17,14,13,0,4,45,1253,14735013,1062083,62513,0,6,6,0,0,0,0,30000,260,0,0,2,1,1,0,2,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0
140,0,20,20,1200,517400,892,0,0,26,10,1,0,5,29,1311,13661711,1752265,0,0,11,12,0,3,3,0,36700,130,0,0,4,0,0,0,2,2,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,1,0,0,2450,1147400,2466,0,0,48,41,16,0,7,141,2366,23027499,2406915,0,0,11,10,0,0,0,0,120000,313,0,0,8,8,3,0,2,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,49,1,1,813,536600,894,0,0,4,4,17,0,3,30,1114,7882743,961294,0,0,7,10,11,0,0,400,105000,328,0,0,0,0,1,0,2,0,151,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,5,25,25,2100,852900,1862,3,0,18,13,1,0,4,120,2123,12011315,3200309,0,0,12,55,2,0,0,250,195000,426,0,0,4,2,1,0,2,7,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,1,1,400,87800,268,0,1,0,0,3,0,3,40,710,3428991,13621988,0,0,5,78,1,40,40,2010,584100,1937,0,0,28,23,6,0,10,62,1282,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,5,13,13,987,338900,704,5,0,4,3,12,0,5,75,1169,5649500,2112866,0,0,12,17,0,30,30,720,95000,630,0,0,2,1,3,0,2,1,341,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,36,31,31,4235,2053800,4071,23,1,37,18,44,0,7,98,4037,31326133,2486346,1142088,0,13,41,5,14,14,1260,361600,1034,1,1,0,0,7,0,5,9,505,7,19,0,4,4,480,96400,525,0,2,0,0,2,0,4,3,229,1
33,1,0,0,450,31920,76,1,0,0,0,2,0,5,18,376,3058072,1049180,912911,0,1,9,3,0,0,0,5340,10,3,0,0,0,1,0,7,0,109,1,11,2,0,0,60,11940,60,1,0,0,0,1,0,4,0,106,0
119,3,18,18,344,292100,647,0,0,8,2,20,0,3,41,1135,8315664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,1,1,1240,382400,1079,0,0,16,12,42,0,5,65,1305,9801378,2004432,0,0,11,21,0,7,7,500,105000,513,0,0,5,4,3,0,1,14,309,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,12,0,0,1020,389200,768,0,0,1,1,5,0,2,12,1247,6503742,17936,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,7,17,17,1408,415100,1105,7,0,16,8,5,0,5,33,1333,8575370,122348,365732,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,6,0,0,0,60,0,263,0,1,0,0,3,0,3,0,60,1
160,0,36,36,719,382400,733,0,0,1,0,0,0,3,9,1426,8656428,612696,686886,0,5,1,0,1,1,0,45000,0,0,0,0,0,0,0,2,0,48,0,0,0,11,11,0,0,300,0,0,0,0,0,0,1,1,102,0
70,0,0,0,0,0,0,0,0,10,6,0,0,13,40,821,6677222,2792112,5101913,0,0,2,0,0,0,0,0,0,0,0,12,8,0,0,6,6,94,0,55,0,0,0,0,0,0,0,0,16,7,0,0,8,5,433,0
213,4,33,33,2022,932900,1797,0,1,2,2,21,0,11,80,2377,13431249,2383732,442445,0,7,32,1,8,8,579,172300,431,0,0,0,0,1,0,5,0,311,3,1,0,0,0,0,75000,135,0,0,0,0,0,0,1,19,135,0
160,0,0,0,1300,544400,1012,0,0,42,28,2,0,6,31,1350,17123643,3653625,3843264,0,10,20,0,0,0,540,180000,480,0,0,14,10,0,0,1,30,376,4,9,0,0,0,0,30000,300,0,0,13,10,0,0,1,0,101,2
98,3,6,6,610,252320,704,3,1,4,3,7,0,11,40,1011,8447601,3870786,5125069,0,6,19,9,17,17,920,344880,903,9,0,0,0,4,0,7,50,662,7,35,1,17,17,1750,352500,1385,1,1,8,3,8,0,4,24,624,6
