level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3
264,176,40,40,3200,2197400,2845,135,0,23,20,19,0,5,120,3793,24532434,6706426,15108414,0,14,10,90,20,20,1010,1005000,1220,59,0,0,0,6,0,4,80,1265,6,4,84,20,20,0,1167000,1176,31,0,43,20,4,0,7,80,1241,7
200,35,40,40,1660,601820,2568,0,0,46,24,7,0,3,66,2259,14155340,22620790,5270932,0,14,266,4,22,22,4150,998680,2861,0,1,80,58,9,0,5,80,2579,7,146,3,0,0,1200,960000,1269,0,0,6,4,10,0,1,0,879,0
91,4,0,0,99,96600,264,4,0,0,0,0,0,2,5,601,3581640,1295372,118859,0,0,10,0,0,0,0,39000,0,0,0,1,1,0,0,2,0,126,0,1,0,0,0,0,10800,0,0,0,0,0,0,0,1,0,13,0
314,64,20,20,2879,1160500,2609,17,1,9,6,29,0,5,40,2745,22170487,11889309,4503284,0,7,157,1,23,23,2466,1304500,2763,1,1,2,2,11,0,5,80,1767,7,8,0,20,20,900,345000,773,0,0,0,0,2,0,2,80,704,6
93,6,7,7,500,184520,565,6,0,10,7,12,0,3,40,969,5672723,3421782,0,0,6,38,6,17,17,729,262380,772,4,0,3,1,6,0,1,38,669,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,3,2,2,71,182120,737,0,0,16,10,9,0,3,15,754,7190748,3269514,2003839,1,13,38,1,6,6,0,141180,519,0,0,8,3,2,0,1,11,343,3,0,0,0,0,0,0,20,0,0,8,5,0,0,0,0,16,0
101,19,0,0,800,316600,901,13,1,1,1,4,1,6,24,987,5551401,12496923,1626387,5,9,156,30,20,20,1590,1205900,2022,29,0,19,15,10,0,7,30,1627,7,5,0,0,0,0,0,351,0,1,3,1,2,0,4,0,65,1
146,8,5,5,699,484300,1322,7,0,77,45,13,0,3,24,1312,19882264,8931821,15779103,0,12,55,0,3,3,2200,660000,1591,0,0,13,8,4,0,3,136,1253,4,200,0,0,0,3200,1349800,2811,0,0,65,28,4,0,1,80,1703,7
70,65,0,0,0,125120,220,0,0,21,6,3,0,1,0,862,12428413,425910,11240602,0,5,2,2,0,0,0,10380,82,0,0,0,0,1,0,1,0,34,1,52,55,3,3,0,396900,761,0,0,15,7,1,0,1,53,966,6
199,1,0,0,1060,712400,1530,1,0,54,27,22,0,5,12,1551,20383211,7473597,1621604,0,10,107,0,6,6,1000,540000,1284,0,0,21,9,12,0,5,8,822,1,93,0,0,0,1276,360000,1272,0,0,8,6,5,0,2,20,707,7
148,3,7,7,292,442400,1001,0,1,32,18,4,0,4,40,1304,17044396,14063020,3474052,0,6,83,0,5,5,2050,660000,2128,0,0,39,22,3,0,2,80,1122,7,1,0,0,0,0,0,0,0,0,14,8,0,0,6,0,69,0
75,16,0,0,294,150000,350,0,0,29,20,1,0,1,40,891,10863291,26416677,10345391,3,0,89,31,0,0,563,751100,961,5,0,0,0,6,0,2,31,944,6,156,48,0,0,600,1127000,1663,1,0,12,8,7,0,3,19,1412,6
105,5,9,9,1750,501800,1405,4,0,21,17,13,0,11,120,1573,10950231,3568936,8206393,0,12,36,2,8,8,1250,469800,1247,1,0,0,0,10,0,10,80,807,7,158,3,0,0,1713,749200,1775,3,0,11,9,13,0,4,32,1311,5
101,5,0,0,120,194100,533,0,0,12,11,4,0,3,9,749,6114755,0,1867576,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,68700,216,0,0,5,4,1,0,1,0,126,0
198,119,0,0,1300,1057400,1492,117,0,2,2,28,0,10,14,2139,13540202,9668588,0,0,10,108,127,0,0,1340,1290000,1388,127,1,3,2,26,0,6,10,1640,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,99,20,20,1528,1895500,2483,21,0,42,28,1,0,5,69,3088,27354078,26019317,15833705,3,11,195,48,24,24,2424,2034000,1910,13,1,51,30,0,0,2,20,1917,7,97,31,15,15,970,1196000,1181,2,1,77,41,3,0,3,23,1218,6
