country,level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3,pvp-unlock,hunt-unlock,exp-unlock,label
HR,22,3,0,0,0,21900,44,0,0,0,0,2,0,3,8,229,1373460,293135,3091550,0,0,0,1,0,0,0,4500,30,0,0,0,0,0,0,0,5,37,0,35,10,22,22,670,169100,223,0,0,0,0,6,0,1,23,595,6,1,1,0,1
TR,96,4,22,22,470,290200,578,0,0,12,9,17,0,4,40,1076,9172750,4866626,4998158,0,7,24,1,24,24,270,204000,1039,0,0,7,4,6,0,4,20,534,8,59,4,26,26,2450,420000,1252,0,0,1,0,9,0,4,2,772,9,1,1,1,1
HR,72,14,0,0,500,157620,305,3,0,6,4,0,0,3,18,724,5562023,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
GE,40,4,0,0,540,125620,167,0,0,0,0,10,0,2,5,337,1707062,3500068,2772606,0,7,57,6,5,5,1080,476780,1212,0,0,6,3,11,0,5,34,681,7,29,9,5,5,540,267000,933,0,0,0,0,8,0,4,20,432,6,1,1,1,1
ID,110,8,15,15,810,289400,1019,1,0,21,10,10,0,4,41,1180,6571212,0,0,0,10,5,0,0,0,750,60000,190,0,0,3,0,2,0,1,9,111,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
EG,183,0,0,0,480,682400,973,0,0,5,3,35,0,6,40,1977,12140517,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
EG,155,7,10,10,299,367400,817,0,0,2,1,31,0,2,13,1269,8602117,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
CL,121,44,0,0,685,517100,660,0,0,0,0,0,0,3,36,1214,9763557,13745546,0,0,0,1,1,0,0,0,0,40,0,0,39,26,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
MX,51,0,0,0,0,28400,1,0,0,0,0,5,0,2,0,306,1994728,5479256,6723293,0,0,81,31,0,0,540,354000,629,0,1,0,0,4,0,4,0,754,0,135,59,0,0,1680,885000,1315,18,1,0,0,5,0,2,0,1160,0,1,1,1,1
US,88,0,0,0,0,135500,332,0,0,15,12,5,0,2,0,582,7564623,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
