"gaid","country","level_cnt","ads_cnt","pvp_cnt","pvp_won_cnt","gem_spend","coin_spend","gem_earn","ads_reward_cnt","org_hero_cnt","level_e_try_cnt","level_e_cnt","idle_cnt","purchase_times","login_cnt","level_h_cnt","log_num","d1_duration","d2_duration","d3_duration","willpay","daily_task_cnt"
"c310c266-ceb1-4c98-969c-98f1c4400a55","HR","152",,,,"400","292400","710",,,"4","4",,,"4",,"999","4439414",,"2566913",,"2"
"a9695770-a101-486f-93e5-742e0445d36b","FR","395","6","38","38","4531","2551400","5104",,,"114","77","4",,"8","160","3823","1564442","11220773","16266250",,"18"
"270dcf55-d159-45ce-a338-6e888765a9c8","US","101","12","37","37","1480","268660","1242","5",,"13","4","21",,"11","34","1311","545247","8443409","1221154","5","11"
"ba4080e5-fa15-46f1-82e5-7a232150926e","PL","289","8",,,"1719","871600","2430",,,,,"15",,"5","16","2142","12050325","2040181","1338379",,"14"
"84ca9451-65e8-45f7-bcd9-ad453354a7ac","VN","173","102","40","40",,,,"102",,"18","13",,,"22","40","2870","10681548","5666017","2381586",,
"d7b0392f-b1de-4e32-999b-411323bc12bf","BR","76","6","3","3","1140","247700","884","3",,"9","5","14",,"11","35","1052","2086332","4753376","427481",,"12"
"ca811395-6010-4180-933d-0ed4e5d1d7be","US","303","91","46","46","2250","1702400","3560","70","1","12","8","11",,"13","62","3305","11099930","9592703","2143247",,"23"
"04b1766e-4507-4594-89be-839674ca7820","CL","133","16",,,"900","339200","802","4",,"5","4","1",,"6","6","997","3885904","1126276","1490967",,"12"
"8ade9de4-02aa-4ba0-8d75-b9181f19ab09","ID","109","49","2","2","920","682400","1081","1",,"16","7","3",,"9","98","1678","5768669","8286856","4863607",,"6"
"a25b2e40-f18e-44a9-80b8-2445bd6087dc","SI","246","6","35","35","3116","1290900","3006",,,"52","35","32",,"11","89","2737","6890542","14270757","6106937",,"20"
"d168ef89-9ac5-4b5d-bc1c-5ebc1965f3d8","CR","152",,,,"182","502400","1048",,,"43","21",,,"3","60","1475","7044901","4054779","11384901",,"5"
"acfd1d2c-e954-4921-b9e1-6b58d2157f32","TR","244","33","37","37","4036","1320900","3696",,"1","18","13","56",,"20","101","3130","7509429","2555589","11860241",,"23"
"44289971-7502-4bed-9f14-38692f3bf852","IT","490","80","16","16","4884","2725200","4913","21","1","69","27","22",,"9","172","4850","20606695","17134989","17135591",,"18"
"b7d5908c-58de-49e2-b9cf-e8eb4f226fd8","GR","301","407","33","33","3130","4077700","4634","135",,"34","13","23",,"8","183","6005","21837553","12603731","8839801",,"25"
"142768bf-c271-4255-965a-a9ef8d8330e9","BO","184","22","57","57","3200","1252400","3271",,,"71","32","4",,"9","155","2718","25166243","13619144","3311124",,"18"
"a19a323a-1301-45b1-8175-2ba315d7a5f0","TR","182","16","57","57","2309","1132400","3244","2",,"30","15","37",,"24","180","2850","14200208","7288869","2853069",,"21"
"27aeb781-5316-4362-822b-9223a0141027","ES","258","18","36","36","4800","1555200","4629","3","2","38","17","10","2","18","186","3349","574738","24744773","4663396",,"21"
"9ebff596-f35a-497e-9957-e3b0b76c12a4","US","54","3","10","10","720","202100","425","3",,,,"10",,"11","19","785","2158792","3537890","1259370",,"10"
"7ba99e0f-0677-48ed-9864-20effbbc5dce","AR","151","68",,,"1254","314500","1058","38",,"5","3","84",,"2","40","1630","3741117",,"6346909",,"10"
"5e4eb277-90c7-4ab0-b900-b1789a8c0d8d","UA","202",,"6","6","540","847400","1326",,,"103","43","2",,"6","22","1828","1634233","16753451","15689193",,"11"
"a727ed82-0e6a-44f9-8a29-23b4a1ab541b","IN","86",,,,"420","150400","445",,,,,"1",,"9","48","905","853650","3488554","1630320",,
"94e2eb41-b82a-4732-8444-33aac342491e","DE","506","1","11","11","3620","1768600","3414",,,"23","7",,,"18","6","3796","1711935","16775122","11394389",,"11"
"9d4b6ebb-4bda-49a6-97cd-92b3f5196392","VN","177","102","46","46","2000","1126600","2594","37","1","16","11","44",,"17","115","3112","10046134","4036978","7609957",,"18"
"3d62a776-5cb8-42ba-b031-cdd84b4283c6","DE","155","40","11","11","1870","646800","1609","39",,"13","8","13",,"4","47","1754","6802372",,"3209518","1","13"
"625bd8d5-b6d4-4155-b29d-996f67939c3b","VN","267",,"65","65","4237","1447600","3927",,"3","12","10","35",,"25","85","2987","11266173","7494676","4087598",,"18"
"bb91a296-c8d1-4ca3-89e4-ce0e1fa33a6e","BR","111","1","4","4","450","207200","749",,,"5","3","6",,"5","28","893","2992364","4136272",,,"6"
"d3540897-0144-4885-bed5-98d80ce30421","BR","129","7","6","6","595","285400","766",,,"35","17",,,"12","38","1295","1401467","5782969","8578258",,"5"
"4cc13f9b-29cf-4413-9dc5-2f5fc00c8f45","BR","193","3","23","23","2660","979400","2767",,,"51","20","7",,"6","48","1875","1018044","11944395","11355582",,"20"
"20e9da0a-aeda-44e9-b701-ed47cac018dc","CO","225","11","43","43","1405","761400","2145","3",,"4","4","7",,"2","50","2154","11910355",,,,"14"
"a412a3ac-eb93-4658-bd68-d345596670ed","US","153","1",,,"1960","577400","1660",,,"12","8","18",,"6","131","1918","5538083","6542757","6585185",,"5"
"74fc1400-4756-4c5f-b892-bd8cc663a5a0","PL","74",,"8","8","100","105900","302",,,"10","7",,,"4","5","637","2604514","3403487","469545",,"9"
"c87f6884-884e-422a-bd6a-113a1a8aec1a","IT","90","8","1","1","2179","811800","1943","7",,"60","33","10",,"4","200","2032","15387097","3293818",,,"18"
"ca7133b3-219f-440f-9da3-1aabad10a9b4","IN","228","24","2","2","1800","1235900","1401","1",,"2","2","8",,"30","19","2222","10177600",,,,"6"
"110d14dd-adb8-4454-9ce2-0b60310e9240","VN","50","2","6","6","910","337400","1007",,,"25","18","18",,"9","39","841","2374193","1372977","5550385",,"15"
"cf7e0ffd-046f-448b-b170-dc53720d89fa","PH","72",,,,"583","73520","230",,,"16","10","5",,"1","10","601","7794233",,,,"5"
"fb16a269-3285-4058-ba02-3d718f04096b","KZ","108","1","1","1","187","192000","639",,,,,"29",,"9","4","794","6208792","1976884",,,"3"
"8e35bfbb-365c-4885-91d9-bc780403e13e","KR","91",,,,"0","125120","608",,,"25","20","1",,"3","36","914","7810158",,,,"4"
"0209740b-30a8-40ea-a20d-4f5400187a64","RU","496","111","16","16","0","1927400","3423","36",,"4","3","20",,"2","30","3888","17566122",,"2176853",,"13"
"914c31fe-bc0c-4922-9e65-1b18fb54a02b","PL","161","45",,,"1250","563800","1031","17",,"3","2","4",,"4","18","1398","8033770",,,,"10"
"52b7c7bd-2d98-44be-85ba-9db8f1a6b24b","MM","71","85","6","6","120","397800","600","48",,"14","10","7",,"4","26","1240","7395309","3031278",,,"8"
"eb237559-7a72-499d-a819-8b84a427a69c","PH","41",,,,,,,,,,,,,"10",,"458","1654935",,"3328602",,
"28b19469-040b-4fb0-b040-1acb1a1b2a1d","ID","106","4","11","11","1450","336000","1767","4",,"5","4","3",,"6","49","1238","1811906","2599605","1338377",,"17"
"9eda87cd-bdaa-4d34-a598-19ee0ed928cd","PL","272","192","81","81","2910","2362400","4156","81","1","44","24","48",,"23","40","3703","12801795","8696476","8579321",,"28"
"73fc5074-5b8d-4e50-918f-b22c485a20d8","BR","72","5","21","21","850","270060","472",,,"30","13",,,"4","25","956","8452031",,,,"7"
"b02c4ba5-50ae-45fa-b0bc-02d0d5ba8632","BR","80","7",,,,"135500","432","7",,"6","4","4",,"1","40","817","6038145",,,,"6"
"b32f8a65-b2d1-49ac-b3db-027c740361b7","TR","114","2","67","67","3390","1011500","3038",,"1","4","4","12",,"6","122","2072","5995168","2218333","719971",,"26"
"fd25c16c-ceeb-44e8-b8d2-71d0cb8ab5a9","IN","172","10",,,"2039","551400","1661","10","1","26","8","59",,"40","50","1783","11989940","5720957",,,"11"
"7ca960cd-b6e1-45f7-a7b7-30d166b35456","BR","157",,,,,"472400","992",,,"5","2",,,"7","53","1432","7401835","6392354","4321",,"4"
"5a1cc180-edea-44a5-95f9-7d0d3b1ceba0","JP","113",,"19","19","1340","355820","1376",,"1",,,"9",,"4","64","1238","239731","6984003","1572076",,"15"
"7c7e7f18-6d13-4a20-b0c9-a08eab453ce4","FR","69","58","11","11","0","308000","660","20",,,,"6",,"3","28","1117","2473430","3836606",,,"17"
"1687ce92-7248-4b4c-a7df-7a8514811fd5","BR","153","17","51","51","1180","1057400","2423",,,"19","17",,,"6","158","2455","4168824","6344287","7815402",,"19"
"7b563d53-6cc8-4aef-b502-ac8b8008f9a3","RS","148","24","34","34","2780","909400","2444","1","2","55","21","4",,"10","80","2012","19557712","1089898","224251",,"14"
"33a022bf-6449-4935-a1b4-04e1040a3067","KZ","75","4","41","41","1360","296800","1011","4",,"16","9","1",,"16","18","1174","2470049","2564124","5355861",,"14"
