level_cnt1,ads_cnt1,pvp_cnt1,pvp_won_cnt1,gem_spend1,coin_spend1,gem_earn1,ads_reward_cnt1,org_hero_cnt1,level_e_try_cnt1,level_e_cnt1,idle_cnt1,purchase_times1,login_cnt1,level_h_cnt1,log_num1,d1_duration,d2_duration,d3_duration,willpay,daily_task_cnt1,level_cnt2,ads_cnt2,pvp_cnt2,pvp_won_cnt2,gem_spend2,coin_spend2,gem_earn2,ads_reward_cnt2,org_hero_cnt2,level_e_try_cnt2,level_e_cnt2,idle_cnt2,purchase_times2,login_cnt2,level_h_cnt2,log_num2,daily_task_cnt2,level_cnt3,ads_cnt3,pvp_cnt3,pvp_won_cnt3,gem_spend3,coin_spend3,gem_earn3,ads_reward_cnt3,org_hero_cnt3,level_e_try_cnt3,level_e_cnt3,idle_cnt3,purchase_times3,login_cnt3,level_h_cnt3,log_num3,daily_task_cnt3,0
40,0,2,2,0,50600,182,0,0,0,0,1,0,3,13,379,1610076,779561,648649,0,6,15,0,1,1,180,37200,75,0,0,0,0,0,0,5,0,142,3,8,0,2,2,60,81360,180,0,0,0,0,0,0,1,10,163,5,0
40,0,2,2,0,34620,154,0,0,0,0,0,0,2,15,373,1937886,142204,1791974,0,5,1,0,0,0,0,5340,0,0,0,0,0,0,0,1,0,13,0,31,1,0,0,0,38940,120,0,0,0,0,0,0,4,0,200,0,0
12,0,0,0,0,3720,0,0,0,0,0,0,0,1,0,89,988186,9605825,6089159,0,0,69,15,0,0,700,273680,428,1,0,32,17,2,0,1,30,790,4,111,6,0,0,980,571800,1433,0,0,7,6,3,0,6,40,925,7,0
105,12,30,30,1036,281200,939,12,0,7,6,11,0,3,17,1114,6960402,13969592,7402562,0,7,252,16,15,15,2460,1099600,2215,4,0,6,2,31,0,9,4,1935,6,124,4,5,5,1490,608400,1621,4,1,1,1,32,0,7,11,1001,7,0
109,2,5,5,120,262400,946,2,0,1,1,11,0,5,55,1129,6163455,7995527,8435244,0,7,111,5,17,17,720,815000,1780,5,0,1,1,17,0,2,59,1254,6,81,5,13,13,3730,525000,1929,5,0,0,0,9,0,3,32,861,8,0
26,3,0,0,0,115160,454,3,0,0,0,8,0,2,0,207,845355,2528665,0,0,7,13,2,8,8,400,132660,326,2,0,5,4,4,0,2,18,290,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,30,23,23,680,910400,1400,28,0,30,20,7,0,1,55,1959,15740030,26219966,2950933,5,7,282,42,23,23,3048,2420900,3423,42,1,60,47,8,0,6,81,2828,7,46,9,12,12,16,388900,1122,9,1,1,1,3,0,6,27,605,6,0
90,6,3,3,0,120160,571,4,0,9,9,8,0,9,30,840,8043792,8765997,3744550,0,5,70,8,28,28,370,507240,1265,5,0,8,4,3,0,10,50,997,7,33,10,11,11,1260,150000,770,1,0,2,1,2,0,3,10,413,7,0
34,0,0,0,120,64220,132,0,0,0,0,8,0,5,9,330,1461146,947049,2159333,0,5,23,5,0,0,180,60900,192,5,0,0,0,9,0,6,0,209,5,20,4,0,0,300,68580,386,4,0,9,4,7,0,7,0,217,4,0
71,2,0,0,1173,382400,1082,1,1,14,8,6,0,5,120,1259,8695670,37569,4967606,0,9,0,1,0,0,200,15000,102,0,0,0,0,1,0,1,0,11,1,57,0,0,0,0,150000,623,0,0,12,6,3,0,4,33,526,0,0
88,6,15,15,940,487400,1327,0,0,14,11,11,0,7,120,1527,11762209,5041777,0,0,14,42,0,19,19,1660,225000,1048,0,0,20,6,8,0,2,10,505,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,172,8,8,1080,937400,1294,78,0,31,14,20,0,7,40,2671,21944104,31971521,16283147,8,7,102,132,24,24,1740,1275000,1807,27,0,35,23,29,0,3,24,2176,6,63,116,20,20,1800,1442000,1684,31,0,17,14,12,0,11,51,1770,8,0
33,51,0,0,0,64220,200,3,0,0,0,2,0,5,14,594,3423828,87331,479692,0,9,1,1,0,0,0,7440,0,0,0,0,0,1,0,2,0,20,0,4,7,0,0,0,74640,10,0,0,0,0,1,0,1,0,81,1,0
28,0,0,0,0,18320,28,0,0,0,0,3,0,4,8,239,1230122,5033527,1423239,0,0,121,1,1,1,893,249040,731,1,0,2,2,14,0,5,0,758,5,29,0,0,0,420,147840,244,0,0,0,0,3,0,2,0,201,0,0
32,1,0,0,500,27000,100,1,0,0,0,0,0,1,0,233,1073166,4266487,3522684,3,5,69,3,0,0,1030,215960,1145,3,1,7,6,5,2,3,10,615,1,41,0,0,0,1030,238740,955,0,0,7,5,5,0,3,10,411,6,0
52,3,0,0,98,75860,229,0,0,0,0,7,0,1,21,514,3193160,0,335351,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,60,7860,60,0,0,0,0,1,0,2,0,40,0,0
20,7,0,0,0,62220,258,0,0,0,0,4,0,5,40,483,3828824,12127,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,19820,34,0,0,0,0,1,0,1,6,258,1797149,11335775,5105237,0,0,75,0,0,0,76,272580,881,0,0,7,5,3,0,4,53,967,0,36,5,0,0,1335,247400,546,5,0,0,0,2,0,2,32,469,0,0
70,6,5,5,0,104600,381,0,0,2,2,4,0,3,24,668,3507857,2491073,1296710,0,7,4,0,0,0,0,0,117,0,0,7,4,1,0,3,0,56,2,6,0,0,0,0,54000,179,0,0,5,3,2,0,2,0,67,2,0
60,17,0,0,0,55200,22,0,0,0,0,0,0,1,6,489,3025697,4801164,6515601,0,0,11,1,0,0,0,7020,160,0,0,19,15,0,0,2,0,134,0,85,4,0,0,300,365180,480,0,0,17,7,0,0,4,0,599,0,0
33,2,0,0,0,38660,142,2,0,0,0,0,0,1,10,290,1609726,10421613,496170,0,5,93,52,3,3,860,403740,647,39,0,17,9,6,0,3,15,1064,1,5,5,0,0,0,0,199,4,0,0,0,3,0,1,0,72,2,0
81,67,0,0,0,219920,274,51,0,6,4,0,0,2,10,994,7479273,0,55054,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
20,10,0,0,0,17820,4,0,0,0,0,2,0,1,0,195,1109647,0,15543283,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,24,13,13,1190,544780,1075,2,0,26,18,10,0,5,53,1205,14,0
57,3,1,1,720,162620,338,0,0,0,0,7,0,4,40,711,3882955,13794053,6996350,0,6,194,0,26,26,2694,1076100,2691,0,1,19,17,10,0,19,46,1883,7,73,1,19,19,1410,649500,1484,1,0,1,1,3,0,6,59,1109,7,0
80,28,5,5,520,277800,403,0,0,4,4,4,0,6,28,926,5405208,1754006,0,0,6,24,13,5,5,850,210000,646,0,0,0,0,1,0,4,10,366,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,26400,90,0,0,0,0,5,0,1,20,319,1749448,2995532,444605,0,0,53,4,2,2,293,101220,223,1,0,4,2,4,0,3,8,439,0,5,0,2,2,0,10380,219,0,0,0,0,1,0,2,3,72,0,0
120,32,0,0,672,433600,755,1,0,44,27,10,0,8,24,1249,16100063,9978988,4708102,0,6,23,1,0,0,500,150000,749,0,0,45,19,7,0,7,7,327,3,7,0,0,0,250,27000,490,0,0,17,8,3,0,4,4,122,0,0
336,125,33,33,3090,1923100,3162,23,2,4,3,59,0,6,72,3502,25075046,8470518,1829848,0,14,83,21,26,26,1174,594000,1343,18,1,0,0,22,0,7,10,1021,6,10,3,16,16,0,1500,792,0,0,0,0,4,0,3,10,272,5,0
95,7,8,8,1060,207000,760,7,1,2,2,11,1,5,5,874,4673368,5252611,269268,1,7,109,3,15,15,0,659200,2026,2,0,2,2,5,0,4,71,1240,6,8,0,1,1,0,120000,276,0,0,0,0,1,0,1,0,68,2,0
53,26,12,12,0,135500,180,1,0,0,0,1,0,1,18,714,3976533,8171722,690356,0,6,54,24,8,8,1460,396900,883,2,0,37,17,12,0,6,11,776,8,8,6,0,0,0,120000,82,1,0,0,0,3,0,3,0,91,0,0
21,0,0,0,0,10920,12,0,0,0,0,1,0,1,5,167,711061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,6,0,0,1130,293000,781,5,0,4,3,12,0,2,40,997,6813908,28550764,5880744,0,6,345,1,21,21,3126,1599000,3614,1,1,22,14,79,0,5,36,2948,8,39,2,5,5,696,181500,695,2,0,3,0,12,0,4,8,488,0,0
130,12,52,52,1660,406400,1488,12,0,19,10,0,0,9,50,1622,13989074,11224396,6522449,0,14,98,6,5,5,897,384000,1245,6,0,16,8,9,0,13,20,862,6,64,0,18,18,2170,617000,1727,0,1,4,1,10,0,10,60,948,5,0
60,1,4,4,550,75660,204,1,0,0,0,2,0,1,15,521,2037396,4652258,391792,0,7,91,3,3,3,1050,382240,1086,1,0,7,6,5,0,7,20,774,4,10,0,0,0,0,75000,581,0,0,0,0,3,0,2,0,73,4,0
44,64,3,3,250,137700,298,34,0,0,0,9,0,1,40,1046,9946741,13982944,11005832,5,7,65,134,7,7,1080,803500,1331,46,0,14,11,10,0,5,75,1818,7,103,160,7,7,1140,1200000,1672,66,2,0,0,10,0,7,80,2215,7,0
85,1,3,3,840,92860,549,1,0,1,0,7,0,6,40,846,4395538,3412052,9168744,0,6,30,0,0,0,780,319140,672,0,0,14,9,3,0,5,2,303,5,95,0,29,29,1510,699900,1554,0,1,9,4,5,0,8,50,1235,8,0
62,74,0,0,250,169160,209,2,0,0,0,5,0,2,10,892,6115758,217454,218065,0,6,3,3,0,0,0,0,120,0,0,0,0,0,0,1,0,38,0,3,3,0,0,0,64500,102,0,0,0,0,1,0,1,0,38,1,0
86,8,2,2,1010,179120,740,0,1,4,2,0,1,9,40,956,6049046,6946814,5814819,1,8,95,3,32,32,828,496080,1020,0,0,3,2,0,0,3,41,1081,5,50,1,19,19,530,255000,615,0,0,5,1,0,0,1,11,524,0,0
258,14,23,23,1665,612420,1853,4,0,3,2,5,0,3,42,2073,13512659,9816155,0,0,11,224,2,23,23,2604,1278580,2912,1,0,0,0,2,0,4,78,2053,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2,0,0,0,37060,69,1,0,0,0,22,0,1,13,336,8691022,7577864,1520029,0,0,42,5,4,4,719,232140,714,4,0,12,8,25,0,1,35,620,3,0,0,4,4,0,0,0,0,0,2,1,0,0,0,0,34,0,0
43,4,8,8,0,89700,154,0,0,0,0,6,0,1,10,453,2619132,214908,2025753,0,6,2,0,2,2,0,8700,0,0,0,0,0,0,0,1,0,31,0,27,3,3,3,660,125920,519,0,0,4,4,3,0,2,20,381,7,0
120,10,17,17,990,200060,820,1,0,14,12,12,0,3,35,1207,38597023,5748937,0,0,13,62,12,5,5,803,537900,902,12,0,2,2,4,0,2,30,741,0,0,0,0,0,60,333240,913,0,0,0,0,3,0,1,0,2,6,0
14,13,0,0,400,21900,40,3,0,0,0,1,0,1,0,200,1220969,499503,0,0,3,1,1,0,0,0,4500,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,4,20,20,1680,547400,1362,2,0,13,7,13,0,11,69,1549,12034885,4532864,3636912,0,7,47,3,20,20,1080,264000,1073,3,1,0,0,5,0,7,4,558,6,19,2,8,8,910,246000,921,0,0,2,2,4,0,5,51,618,6,0
17,3,0,0,0,14160,25,1,0,0,0,2,0,1,0,151,921624,82176,11847319,0,2,0,0,0,0,0,3660,0,0,0,0,0,0,0,1,0,3,0,183,64,26,26,380,814580,1733,2,0,5,4,14,0,4,41,2000,13,0
