,Unnamed: 0,gaid,country,level_cnt,ads_cnt,pvp_cnt,pvp_won_cnt,gem_spend,coin_spend,gem_earn,ads_reward_cnt,org_hero_cnt,level_e_try_cnt,level_e_cnt,idle_cnt,purchase_times,login_cnt,level_h_cnt,log_num,pvp-unlock,hunt-unlock,exp-unlock,label
0,0,3b476b99-f7b7-40f2-82e2-df00e4fb33c2,BR,54,23,0,0,0,58500,14,0,0,0,0,1,0,4,1,553,1,1,0,0
1,1,5d030197-1bc2-4c2a-ad86-43130b5aba88,IN,77,2,2,2,99,91700,194,0,0,0,0,1,0,8,12,686,1,1,1,0
2,2,74551343-3e29-4a2f-90c5-634c05f8ca29,US,69,4,8,8,540,233660,898,0,0,5,5,3,0,5,90,1101,1,1,0,0
3,3,e89bf6af-3341-46b4-b3f9-d41769c180db,BR,118,0,1,1,320,208220,607,0,0,32,18,5,0,4,6,864,1,1,1,0
4,4,a0ae5e5b-fdbf-476b-a22e-18ff58cb1e83,AR,120,14,0,0,617,206600,720,0,0,0,0,7,0,8,5,881,1,1,1,0
5,5,68a05a53-9199-42aa-ac3d-1750e8ceea98,KZ,113,0,0,0,407,195700,729,0,0,4,2,9,0,4,46,1088,1,1,1,0
6,6,b6e5059d-f1ca-4148-abb0-52e40cc01f6c,VN,88,3,26,26,930,241860,610,0,0,3,2,2,0,9,6,862,1,1,1,0
7,7,fc1b7219-2177-43bb-9c63-9f2cc9b741c3,ID,73,0,0,0,120,113160,186,0,0,0,0,0,0,10,16,734,1,1,1,0
8,8,209f8244-ac29-493a-8f21-e8cd30da5b42,KR,133,11,0,0,409,212800,480,10,0,0,0,0,0,11,0,885,1,1,1,0
9,9,6146b430-bd21-4c72-a8d1-d93d0461de7c,US,65,5,0,0,120,71660,117,0,1,0,0,6,0,1,9,622,1,1,0,0
10,10,6c2d4532-c859-4884-a8d8-80004d5cb896,MX,50,60,0,0,0,125120,150,0,0,0,0,6,0,5,9,739,1,1,0,0
11,11,8c773d36-5cdb-43eb-9b7b-9a78335e5f22,US,89,18,0,0,0,105620,240,5,0,0,0,0,0,3,0,676,1,1,1,0
12,12,ab30cafd-c4e1-4ae2-b5dc-f67cae9abc42,BR,50,1,0,0,500,105620,333,0,0,0,0,20,0,11,40,648,1,1,0,0
13,13,9fa651ad-8a79-46af-a01f-e0f72c05d754,MM,75,0,0,0,0,115260,324,0,0,6,4,0,0,4,24,657,1,1,1,0
14,14,0cc499f8-d70c-4892-8b2b-65d3571b6f91,GB,103,0,0,0,259,127820,424,0,0,8,5,0,0,5,4,721,1,1,1,0
15,15,2063b05e-015e-4310-bc4f-4bf95cbe2c53,ME,77,1,24,24,450,262400,545,0,0,4,3,13,0,1,55,1024,1,1,1,0
16,16,0c1c88ec-0c35-46e3-b73d-f0c267512ddf,AL,82,2,0,0,0,157520,427,0,0,8,5,2,0,3,40,818,1,1,1,0
17,17,f40c33e7-2777-4b9b-8378-fe7b33947b56,IQ,102,1,0,0,828,205300,483,0,0,6,5,12,0,2,23,817,1,1,1,0
18,18,a6109429-a460-4b69-8f9b-e0d043e21f94,MD,140,0,0,0,400,277400,1067,0,0,2,2,18,0,6,10,970,1,1,1,0
19,19,fdd523ec-0c1c-47ea-bb96-bdad805b7286,IE,67,19,1,1,500,134000,400,13,0,0,0,4,0,2,40,813,1,1,0,0
20,20,a9800f7d-8895-4974-b664-c678cf474028,LB,81,38,0,0,400,148100,205,2,0,4,3,1,0,6,0,743,1,1,1,0
21,21,894630d1-5a8c-4026-80e4-7c7453d7c4ed,IQ,111,0,0,0,782,178220,650,0,0,0,0,10,0,6,3,793,1,1,1,0
22,22,06b98258-c33d-412e-8818-f8680062946e,AZ,70,0,0,0,250,115860,452,0,0,12,9,19,0,7,19,650,1,1,1,0
23,23,e45bafc4-733e-4887-aa49-928bed3150c9,IQ,51,0,0,0,0,28400,0,0,0,0,0,3,0,3,0,485,1,1,0,0
24,24,51cbaa3c-fd55-4a13-a28d-31420c5e9efb,NI,99,0,0,0,903,233820,1050,0,1,4,2,15,0,5,45,941,1,1,1,0
25,25,be027cb0-2145-48c2-9969-aa0c6131e986,BE,101,7,5,5,0,195400,481,1,0,8,8,5,0,1,0,753,1,1,1,0
26,26,f440e45a-7c1f-4511-853b-a7f88c2d6383,RU,71,8,0,0,400,193700,682,6,0,4,3,5,0,5,61,966,1,1,1,0
27,27,7663ff23-361e-4827-8c2f-7ff124e824bc,TW,70,1,0,0,0,105620,421,0,0,6,4,2,0,5,40,754,1,1,1,0
28,28,0577331c-b307-4174-acbc-0a3f8073728c,MX,60,17,1,1,0,125120,166,0,0,0,0,0,0,1,12,579,1,1,0,0
29,29,4a47ff3c-a9e0-4dda-a90b-398072835b5c,TR,70,2,21,21,600,234560,807,0,0,6,5,7,0,5,45,923,1,1,1,0
30,30,5a1cfb43-f20e-413a-9d51-cf6a0a7ef8a9,EG,70,4,0,0,0,87800,406,1,0,15,7,7,0,8,15,617,1,1,1,0
31,31,18556e9e-4a29-4081-9dcd-47f0fc87efcc,BR,80,3,16,16,800,157520,463,0,0,3,3,0,0,3,38,888,1,1,1,0
32,32,b24778e5-45eb-49df-99b4-bbda55ccea98,BR,52,56,3,3,600,169160,298,4,0,0,0,8,0,1,40,942,1,1,0,0
33,33,7527889e-dc18-469e-9194-bae341c577f9,KR,85,1,17,17,900,500400,1552,1,0,2,2,2,0,2,35,949,1,1,1,0
34,34,e1cb06d7-e731-465d-a9fa-51f9abe81117,VN,91,0,30,30,0,224920,492,0,0,4,4,0,0,4,10,903,1,1,1,0
35,35,d58027e7-2ec9-42db-a984-078ee8f96dca,ID,96,47,0,0,400,57200,234,36,0,0,0,4,0,11,20,1104,1,1,1,0
36,36,07470e78-a9c2-427d-bb24-37e93275890b,KR,104,42,0,0,790,289800,432,9,0,4,3,0,0,1,27,1066,1,1,1,0
37,37,655f4832-910b-4e87-8099-d6a11792891d,KR,55,3,0,0,500,35220,105,3,0,0,0,5,0,1,1,445,1,1,0,0
38,38,e8105b88-395b-418b-bdcf-3e73428b5f6e,BE,40,16,44,44,1900,373500,1724,11,2,0,0,6,3,1,16,1039,1,1,0,0
39,39,6c053295-1370-442d-b6a7-b63482cf04bd,TR,134,1,0,0,491,282900,849,0,0,1,1,1,0,4,1,843,1,1,1,0
