gaid,country,level_cnt,ads_cnt,pvp_cnt,pvp_won_cnt,gem_spend,coin_spend,gem_earn,ads_reward_cnt,org_hero_cnt,level_e_try_cnt,level_e_cnt,idle_cnt,purchase_times,login_cnt,level_h_cnt,log_num
863ec630-46fd-4792-87ba-d85ff54392a3,KR,212,26,7,7,1200,486920,1325,1,1,0,0,4,1,2,10,1566
12aad845-b2ce-4c08-b526-009bbf5a06b2,BD,110,0,0,0,0,144300,383,0,0,0,0,7,0,4,2,712
8f215185-4647-4dc5-880f-35280080b934,ID,59,10,21,21,260,142160,326,9,0,0,0,11,0,3,38,932
e3f905ed-7343-459e-8a8e-b46dc1aac55a,KR,115,16,1,1,1051,255720,652,16,1,5,2,4,0,2,40,1087
8470a439-8fc4-4b8d-b9b3-623ec2882389,VN,69,1,28,28,170,157520,300,0,0,0,0,0,0,2,29,920
3815f2bb-1c44-4bee-9bf0-fbaf140beebd,KR,74,0,5,5,520,135500,368,0,0,9,6,0,0,4,40,801
18f0c73c-bec9-4f96-9b35-1435f69a9cb4,LK,71,0,5,5,0,115160,301,0,0,11,8,3,0,2,9,582
ec023d58-5441-4086-8421-dce309fef5d9,DZ,30,41,0,0,0,71660,142,7,0,0,0,11,0,2,9,512
d4f9890c-760e-4178-9e16-0b30de7a8933,RU,85,4,3,3,850,194300,837,1,0,4,3,8,0,10,45,927
7032b0d8-0475-4e4c-a797-c2bc7592b13a,GB,85,0,6,6,0,50600,513,0,0,0,0,2,0,2,40,804
2a731bb5-57bf-4776-b9a6-e0bbb938edec,PH,81,4,0,0,0,181220,458,3,0,16,7,1,0,5,40,863
40c60fc6-84b0-4ffb-9baa-6982b13c47e8,ID,117,9,25,25,1090,181060,823,0,1,6,5,3,1,4,18,1119
8107b40b-c63e-4c54-9624-e9191c81ce28,US,56,31,24,24,250,220120,308,8,0,0,0,5,0,2,40,996
07f496d6-6f16-4ba8-adc4-136b8e692bac,KR,71,4,2,2,770,115820,440,4,0,0,0,3,0,3,31,781
ec02f472-3679-4ae5-b57d-5f8ae046349a,IN,72,0,19,19,983,226960,711,0,0,9,7,14,0,8,42,963
366e4b64-0890-4bbe-8e9b-58ce47558432,BR,62,38,0,0,600,133500,228,3,0,0,0,2,0,1,35,838
95b9cbbd-3a99-41cb-a279-9d750254644d,BR,70,3,2,2,164,115160,401,0,0,6,2,10,0,1,40,776
47710210-4804-4a24-9222-7e2c2994d2e2,IR,70,46,0,0,0,106820,134,45,0,0,0,1,0,2,2,726
ae0e7fdd-11a0-4033-9316-6bd6ddda45d6,BR,77,0,0,0,191,132120,336,0,0,7,4,0,0,1,40,724
386d8616-2292-4dae-bf10-d71b7799b4a6,US,41,0,0,0,0,31320,0,0,0,0,0,0,0,2,0,470
73689d98-7cd4-4aa7-8c6c-f33d8b8728be,AR,126,17,2,2,1170,292500,770,0,0,1,1,1,0,5,7,1029
42aadac7-1254-4f61-925f-4520def943b3,BG,75,0,0,0,0,88300,173,0,0,9,3,4,0,4,10,592
f3841c7f-e5bb-48ae-ace0-4370d73ced73,DE,87,1,4,4,500,146300,624,1,0,4,2,11,0,2,40,900
